4963,494445434547; 1,047580003822554e-27
5050,040008990587; 9,690498772866038e-28
5164,809185076074; 9,067625724775707e-28
5273,063671538244; 8,400915987915699e-28
5383,5871738380265; 7,783227007614801e-28
5496,427250585136; 7,21095446487077e-28
5611,632457218536; 6,705693647064729e-28
5729,252366899998; 6,2126482366566585e-28
5849,337591845592; 5,745143359975054e-28
5971,939805104276; 5,342589738729026e-28
6097,111762792977; 4,9497684305968885e-28
6224,907326797707; 4,594379728109838e-28
6355,381487950508; 4,25657159701396e-28
6488,590389692175; 3,9436012765014026e-28
6624,591352230959; 3,667279020443202e-28
6763,442897207627; 3,3976372525842127e-28
6905,204772877509; 3,141963355677245e-28
7049,9379798203645; 2,921810672375764e-28
7197,704797189118; 2,706980497017749e-28
7348,568809508777; 2,512621851763514e-28
7502,594934037049; 2,3278778510224165e-28
7659,849448698445; 2,152703882335314e-28
7820,400020603875; 2,0055994385711057e-28
7984,315735168022; 1,854677081069893e-28
8151,667125837008; 1,7183093806142168e-28
8322,52620443917; 1,594936388562107e-28
8496,966492171938; 1,477666482171798e-28
8675,063051238281; 1,3741285970188818e-28
8856,892517146209; 1,2707247351192914e-28
9042,533131685237; 1,1772929394665389e-28
9232,064776594076; 1,0948017801768697e-28
9425,569007934027; 1,0143049633771616e-28
9623,129091182798; 9,397267864921958e-29
9824,830037063883; 8,72255289991598e-29
10030,75863812697; 8,15683011206508e-29
10241,003506095005; 7,873201557389656e-29
10455,655109994146; 7,699171104549289e-29
10674,805815082838; 7,557087883758476e-29
10898,54992259688; 7,390044855966298e-29
11126,983710327542; 7,253666360065115e-29
11360,205474050203; 7,093330208095242e-29
11598,315569821325; 6,962427389023851e-29
11841,416457161986; 6,808528827867019e-29
12089,612743146534; 6,682881833979736e-29
12343,011227415329; 6,535162390578197e-29
12601,720948130976; 6,402623071737691e-29
12865,85322889778; 6,272771776543551e-29
13135,521726664647; 6,134117468651338e-29
13410,84248063202; 6,02091630000348e-29
13691,933962183914; 5,887829044131048e-29
13978,917125866528; 5,757683569341943e-29
14271,915461435363; 5,65142924472475e-29
14571,05504699324; 5,526509187301398e-29
14876,464603242128; 5,424521036317479e-29
15188,27554887204; 5,304616592679041e-29
15506,62205711092; 5,206723325947654e-29
15831,64111345981; 5,091633116250343e-29
16163,472574638121; 4,9976703217601367e-29
16502,259228764444; 4,887201051679473e-29
16848,146856798696; 4,7970109186579365e-29
17201,28429527216; 4,690977054750265e-29
17561,823500332266; 4,5958395713375486e-29
17929,919613129845; 4,502631566718795e-29
18305,731026576817; 4,4031047090844125e-29
18689,419453503182; 4,3138055510762155e-29
19081,14999624254; 4,226317465061042e-29
19481,091217676152; 4,140603720773635e-29
19889,41521376608; 4,056628332873439e-29
20306,297687608603; 3,952209170607441e-29
20731,91802503984; 3,8005983414545425e-29
21166,459371825997; 3,675283772255585e-29
21610,10871247161; 3,554101115940452e-29
22063,056950679525; 3,4114018655749006e-29
22525,49899149739; 3,3112325672132583e-29
